     LRU FAULT MESSAGE LISTING
       LRU       | Mess# |    Status     |        Message          |Timer
------------------------------------------------------------------------
AC ARINC SYS     |   1   | FAILED        |AIRCRAFT ARINC SYSTEM    |  3 
AC ARINC SYS     |   2   | FAILED        |AIRCRAFT ARINC SYSTEM    |  3 
AC BLEED SYS     |   1   | FAILED        |AIRCRAFT BLEED SYSTEM    |  3 
AC BLEED SYS     |   2   | FAILED        |AIRCRAFT BLEED SYSTEM    |  3 
L ENG AC POWER   |   1   | FAILED/WIRING |AIRCRAFT POWER 1A        |  3 
L ENG AC POWER   |   2   | FAILED/WIRING |AIRCRAFT POWER 1B        |  3 
R ENG AC POWER   |   1   | FAILED/WIRING |AIRCRAFT POWER 1A        |  3 
R ENG AC POWER   |   2   | FAILED/WIRING |AIRCRAFT POWER 1B        |  3 
ADC 1            |   0   | PREREQUISITE  |INSTALLED                |  0 
ADC 1            |   1   | OFF/NO OUTPUT |NO OUTPUT                |  3 
ADC 1            |   2   | OFF/NO OUTPUT |NO OUTPUT                |  3 
ADC 1            |   3   | FAILED        |CONFIG STRAPS INVALID    | 15 
ADC 1            |   4   | FAILED/WIRING |NO L-ADC-1 BUS OUTPUT    | 10 
ADC 1            |   5   | FAILED/WIRING |NO L-ADC-1 BUS OUTPUT    | 10 
ADC 1            |   6   | FAILED/WIRING |NO L-ADC-2 BUS OUTPUT    | 10 
ADC 1            |   7   | FAILED/WIRING |NO L-ADC-3 BUS OUTPUT    | 10 
ADC 1            |   8   | FAILED/WIRING |NO L-ADC-6 BUS OUTPUT    | 10 
ADC 1            |   9   | FAILED/WIRING |INTERNAL FAULT           | 10 
ADC 1            |  10   | FAILED/WIRING |NO L-GP-1 BUS INPUT      | 10 
ADC 1            |  11   | FAILED/WIRING |TEMP PROBE I/O CIRCUIT   |  5 
ADC 2            |   0   | PREREQUISITE  |INSTALLED                |  0 
ADC 2            |   1   | OFF/NO OUTPUT |NO OUTPUT                |  3 
ADC 2            |   2   | OFF/NO OUTPUT |NO OUTPUT                |  3 
ADC 2            |   3   | FAILED        |CONFIG STRAPS INVALID    | 15 
ADC 2            |   4   | FAILED/WIRING |NO R-ADC-1 BUS OUTPUT    | 10 
ADC 2            |   5   | FAILED/WIRING |NO R-ADC-1 BUS OUTPUT    | 10 
ADC 2            |   6   | FAILED/WIRING |NO R-ADC-2 BUS OUTPUT    | 10 
ADC 2            |   7   | FAILED/WIRING |NO R-ADC-3 BUS OUTPUT    | 10 
ADC 2            |   8   | FAILED/WIRING |NO R-ADC-6 BUS OUTPUT    | 10 
ADC 2            |   9   | FAILED/WIRING |INTERNAL FAULT           | 10 
ADC 2            |  10   | FAILED/WIRING |NO R-GP-1 BUS INPUT      | 10 
ADC 2            |  11   | FAILED/WIRING |TEMP PROBE I/O CIRCUIT   |  5 
APU GEN GCU      |   1   | FAILED        |FAULT                    |  3 
APU GEN PWR MDL  |   1   | FAILED        |FAULT                    |  3 
AHC 1            |   0   | PREREQUISITE  |INSTALLED                |  0 
AHC 1            |   1   | OFF/NO OUTPUT |NO OUTPUT                |  3 

       LRU       | Mess# |    Status     |        Message          |Timer
------------------------------------------------------------------------
AHC 1            |   2   | OFF/NO OUTPUT |NO OUTPUT                |  3 
AHC 1            |   3   | FAILED        |INTERNAL FAULT           | 15 
AHC 1            |   4   | FAILED/WIRING |NO L-AHC-1 BUS OUTPUT    | 10 
AHC 1            |   5   | FAILED/WIRING |NO L-AHC-2 BUS OUTPUT    | 10 
AHC 1            |   6   | FAILED/WIRING |NO L-AHC-2 BUS OUTPUT    | 12 
AHC 1            |   7   | FAILED/WIRING |NO L-AHC-2 BUS OUTPUT    | 12 
AHC 1            |   8   | FAILED/WIRING |NO L-AHC-3 BUS OUTPUT    | 10 
AHC 1            |   9   | FAILED/WIRING |NO L-AHC-3 BUS OUTPUT    | 12 
AHC 1            |  10   | FAILED/WIRING |NO L-AHC-3 BUS OUTPUT    | 12 
AHC 1            |  11   | FAILED/WIRING |NO L-AHC-4 BUS OUTPUT    | 10 
AHC 1            |  12   | FAILED/WIRING |NO L-ADC-1 BUS INPUT     | 10 
AHC 2            |   0   | PREREQUISITE  |INSTALLED                |  0 
AHC 2            |   1   | OFF/NO OUTPUT |NO OUTPUT                |  3 
AHC 2            |   2   | FAILED        |INTERNAL FAULT           | 15 
AHC 2            |   3   | FAILED/WIRING |NO R-AHC-1 BUS OUTPUT    | 10 
AHC 2            |   4   | FAILED/WIRING |NO R-AHC-2 BUS OUTPUT    | 10 
AHC 2            |   5   | FAILED/WIRING |NO R-AHC-2 BUS OUTPUT    | 12 
AHC 2            |   6   | FAILED/WIRING |NO R-AHC-2 BUS OUTPUT    | 12 
AHC 2            |   7   | FAILED/WIRING |NO R-AHC-3 BUS OUTPUT    | 10 
AHC 2            |   8   | FAILED/WIRING |NO R-AHC-3 BUS OUTPUT    | 12 
AHC 2            |   9   | FAILED/WIRING |NO R-AHC-3 BUS OUTPUT    | 12 
AHC 2            |  10   | FAILED/WIRING |NO R-AHC-4 BUS OUTPUT    | 10 
AHC 2            |  11   | FAILED/WIRING |NO R-ADC-1 BUS INPUT     | 10 
AHC 2            |  12   | FAILED/WIRING |NO R-AHC-1 BUS OUTPUT    | 10 
L ENG AI PRES    |   1   | FAILED/WIRING |A/I PRESSURE SENSOR 1A   |  3 
L ENG AI PRES    |   2   | FAILED/WIRING |A/I PRESSURE SENSOR 1B   |  3 
L ENG AI PRES    |   3   | FAILED        |A/I PRESSURE SENSOR 4    |  3 
R ENG AI PRES    |   1   | FAILED/WIRING |A/I PRESSURE SENSOR 1A   |  3 
R ENG AI PRES    |   2   | FAILED/WIRING |A/I PRESSURE SENSOR 1B   |  3 
R ENG AI PRES    |   3   | FAILED        |A/I PRESSURE SENSOR 4    |  3 
ANTI-ICE PANEL   |   1   | FAILED/WIRING |ANTI-ICE COMMAND 1A      |  3 
ANTI-ICE PANEL   |   2   | FAILED/WIRING |ANTI-ICE COMMAND 1B      |  3 
ANTI-ICE PANEL   |   3   | FAILED/WIRING |ANTI-ICE COMMAND 1A      |  3 
ANTI-ICE PANEL   |   4   | FAILED/WIRING |ANTI-ICE COMMAND 1B      |  3 
L ENG AI VALVE   |   1   | FAILED/WIRING |A/I CONTROL VALVE 1A     |  3 
L ENG AI VALVE   |   2   | FAILED/WIRING |A/I CONTROL VALVE 1B     |  3 
L ENG AI VALVE   |   3   | FAILED        |A/I CONTROL VALVE 4      |  3 
L ENG AI VALVE   |   4   | FAILED        |A/I CONTROL VALVE 5      |  3 
L ENG AI VALVE   |   5   | FAILED        |A/I CONTROL VALVE 6      |  3 
L ENG AI VALVE   |   6   | FAILED        |A/I CONTROL VALVE 7      |  3 
L ENG AI VALVE   |   7   | FAILED        |A/I CONTROL VALVE 8      |  3 
R ENG AI VALVE   |   1   | FAILED/WIRING |A/I CONTROL VALVE 1A     |  3 
R ENG AI VALVE   |   2   | FAILED/WIRING |A/I CONTROL VALVE 1B     |  3 
R ENG AI VALVE   |   3   | FAILED        |A/I CONTROL VALVE 4      |  3 
R ENG AI VALVE   |   4   | FAILED        |A/I CONTROL VALVE 5      |  3 
R ENG AI VALVE   |   5   | FAILED        |A/I CONTROL VALVE 6      |  3 
R ENG AI VALVE   |   6   | FAILED        |A/I CONTROL VALVE 7      |  3 
R ENG AI VALVE   |   7   | FAILED        |A/I CONTROL VALVE 8      |  3 
APU LOGIC PCB    |   1   | FAILED/WIRING |FAULT                    |  3 
APU START FUSE   |   1   | FAILED/WIRING |FUSE BLOWN               |  3 
APU ECU          |   1   | FAILED/WIRING |NO APU ECU-1 BUS TO RDC  | 15 
APU ECU          |   2   | FAILED        |APU S/D-ECU FAIL         |  3 
APU ECU          |   3   | FAILED        |INTERNAL FAULT           |  3 
APU ECU          |   6   | FAILED/WIRING |NO R-GP-4 IOC BUS INPUT  |  3 
APU IGNIT UNIT   |   1   | FAILED/WIRING |OPN/SHRT IGN EXCITER     |  3 
APU LO OIL PR SW |   1   | FAILED/WIRING |OPEN CIRCUIT             |  3 
APU FUEL SOV     |   1   | FAILED        |FUEL SOV FAIL TO CLOSE   |  3 
APU LD CTRL VLV  |   1   | FAILED        |FAIL TO CLOSE            |  3 
APU LD CTRL VLV  |   2   | FAILED/WIRING |OPN/SHRT TORQUE MOTOR    |  3 
APU LD CTRL VLV  |   3   | FAILED        |FAIL TO OPEN             |  3 
APU SURGE CV     |   1   | FAILED/WIRING |OPN/SHRT SOLENOID        |  3 
APU START MOTOR  |   2   | LRU OK / INFO |SHORT/LO PWR INPUT       |  3 
APU SPEED SNSR   |   1   | FAILED/WIRING |OPEN/SHORT CIRCUIT       |  3 
APU SPEED SNSR   |   2   | FAILED        |LOW AMPLITUDE            |  3 

       LRU       | Mess# |    Status     |        Message          |Timer
------------------------------------------------------------------------
APU EGT SENSOR   |   1   | FAILED/WIRING |OPN/SHRT CH1&2           |  3 
START CONTACTOR  |   1   | FAILED        |NOT DISENGAGED           |  3 
APU GENERATOR    |   1   | FAILED        |INTERNAL FAULT           |  3 
APU              |   1   | FAILED        |S/D-OVERSPEED            |  3 
APU              |   2   | FAILED        |S/D-LOST OVSP PROTECTION |  3 
APU              |   3   | FAILED        |S/D-EMERGENCY SW/FIRE    |  3 
APU              |   4   | FAILED        |S/D-NO CRANK             |  3 
APU              |   5   | FAILED        |S/D-NO LIGHTOFF          |  3 
APU              |   6   | FAILED        |S/D-SLOW START COND1     |  3 
APU              |   7   | FAILED        |S/D-SLOW START COND2     |  3 
APU              |   8   | FAILED        |S/D-NO ACCEL, HUNG START |  3 
APU              |   9   | FAILED        |S/D-SPEED ROLLBACK       |  3 
APU              |  10   | FAILED        |OIL PRESS LOW            |  3 
APU              |  11   | FAILED        |EGT OVERTEMP             |  3 
APU              |  12   | FAILED        |OIL TEMP HIGH            |  3 
APU              |  13   | FAILED        |BLEED REVERSE FLOW       |  3 
APU              |  14   | FAILED        |UNDERSPEED               |  3 
L ENG ARINC      |   1   | FAILED/WIRING |ARINC RECEIVER ARI-1A    |  3 
L ENG ARINC      |   2   | FAILED/WIRING |ARINC RECEIVER ARI-1B    |  3 
L ENG ARINC      |   3   | FAILED/WIRING |ARINC RECEIVER ARI-3A    |  3 
L ENG ARINC      |   4   | FAILED/WIRING |ARINC RECIEVER ARI-3B    |  3 
R ENG ARINC      |   1   | FAILED/WIRING |ARINC RECEIVER ARI-1A    |  3 
R ENG ARINC      |   2   | FAILED/WIRING |ARINC RECEIVER ARI-1B    |  3 
R ENG ARINC      |   3   | FAILED/WIRING |ARINC RECEIVER ARI-3A    |  3 
R ENG ARINC      |   4   | FAILED/WIRING |ARINC RECIEVER ARI-3B    |  3 
AIR SUPPLY OVHT  |   1   | OVERHEAT      |TRIM AIR SUPPLY OVERHEAT |  5 
L ENG STARTER    |   1   | FAILED/WIRING |STARTER CONTROL VALVE 1A |  3 
L ENG STARTER    |   2   | FAILED/WIRING |STARTER CONTROL VALVE 1B |  3 
L ENG STARTER    |   3   | FAILED        |STARTER CONTROL VALVE 4  |  3 
L ENG STARTER    |   4   | FAILED        |STARTER CONTROL VALVE 5  |  3 
L ENG STARTER    |   5   | FAILED        |STARTER CONTROL VALVE 6  |  3 
L ENG STARTER    |   6   | FAILED        |STARTER CONTROL VALVE 7  |  3 
R ENG STARTER    |   1   | FAILED/WIRING |STARTER CONTROL VALVE 1A |  3 
R ENG STARTER    |   2   | FAILED/WIRING |STARTER CONTROL VALVE 1B |  3 
R ENG STARTER    |   3   | FAILED        |STARTER CONTROL VALVE 4  |  3 
R ENG STARTER    |   4   | FAILED        |STARTER CONTROL VALVE 5  |  3 
R ENG STARTER    |   5   | FAILED        |STARTER CONTROL VALVE 6  |  3 
R ENG STARTER    |   6   | FAILED        |STARTER CONTROL VALVE 7  |  3 
AVIONICS FAN     |   1   | FAILED/WIRING |FAILED OFF               |  5 
AVIONICS VALVE   |   1   | FAILED/WIRING |DISAGREE / VALVE CLOSED  |  5 
AVIONICS VALVE   |   2   | FAILED/WIRING |DISAGREE / VALVE OPEN    |  5 
AVIONICS T SNSR1 |   1   | FAILED/WIRING |CH A&B FAULT             |  5 
